# City list for Yellow Pages scraping
# Tier: all
# Total cities: 455
# Format: City, ST

Minneapolis, MN
St. Paul, MN
Rochester, MN
Duluth, MN
Bloomington, MN
Brooklyn Park, MN
Plymouth, MN
St. Cloud, MN
Eagan, MN
Woodbury, MN
Maple Grove, MN
Eden Prairie, MN
Charleston, SC
Columbia, SC
North Charleston, SC
Mount Pleasant, SC
Rock Hill, SC
Greenville, SC
Summerville, SC
Sumter, SC
Goose Creek, SC
Hilton Head Island, SC
Florence, SC
Spartanburg, SC
Birmingham, AL
Montgomery, AL
Mobile, AL
Huntsville, AL
Tuscaloosa, AL
Hoover, AL
Dothan, AL
Auburn, AL
Decatur, AL
Madison, AL
Florence, AL
Gadsden, AL
New Orleans, LA
Baton Rouge, LA
Shreveport, LA
Lafayette, LA
Lake Charles, LA
Kenner, LA
Bossier City, LA
Monroe, LA
Alexandria, LA
Houma, LA
Metairie, LA
Slidell, LA
Louisville, KY
Lexington, KY
Bowling Green, KY
Owensboro, KY
Covington, KY
Richmond, KY
Georgetown, KY
Florence, KY
Hopkinsville, KY
Nicholasville, KY
Elizabethtown, KY
Frankfort, KY
Oklahoma City, OK
Tulsa, OK
Norman, OK
Broken Arrow, OK
Edmond, OK
Lawton, OK
Moore, OK
Midwest City, OK
Enid, OK
Stillwater, OK
Muskogee, OK
Bartlesville, OK
Bridgeport, CT
New Haven, CT
Stamford, CT
Hartford, CT
Waterbury, CT
Norwalk, CT
Danbury, CT
New Britain, CT
West Hartford, CT
Greenwich, CT
Hamden, CT
Meriden, CT
Des Moines, IA
Cedar Rapids, IA
Davenport, IA
Sioux City, IA
Iowa City, IA
Waterloo, IA
Council Bluffs, IA
Ames, IA
West Des Moines, IA
Dubuque, IA
Ankeny, IA
Cedar Falls, IA
Jackson, MS
Gulfport, MS
Southaven, MS
Hattiesburg, MS
Biloxi, MS
Meridian, MS
Tupelo, MS
Greenville, MS
Olive Branch, MS
Horn Lake, MS
Clinton, MS
Pearl, MS
Little Rock, AR
Fort Smith, AR
Fayetteville, AR
Springdale, AR
Jonesboro, AR
North Little Rock, AR
Conway, AR
Rogers, AR
Pine Bluff, AR
Bentonville, AR
Hot Springs, AR
Benton, AR
Wichita, KS
Overland Park, KS
Kansas City, KS
Olathe, KS
Topeka, KS
Lawrence, KS
Shawnee, KS
Manhattan, KS
Lenexa, KS
Salina, KS
Hutchinson, KS
Leavenworth, KS
Omaha, NE
Lincoln, NE
Bellevue, NE
Grand Island, NE
Kearney, NE
Fremont, NE
Hastings, NE
Norfolk, NE
Columbus, NE
Papillion, NE
North Platte, NE
La Vista, NE
Newark, NJ
Jersey City, NJ
Paterson, NJ
Elizabeth, NJ
Trenton, NJ
Clifton, NJ
Camden, NJ
Passaic, NJ
Union City, NJ
Bayonne, NJ
East Orange, NJ
Vineland, NJ
New Brunswick, NJ
Hoboken, NJ
Providence, RI
Warwick, RI
Cranston, RI
Pawtucket, RI
East Providence, RI
Woonsocket, RI
Coventry, RI
Cumberland, RI
Manchester, NH
Nashua, NH
Concord, NH
Derry, NH
Rochester, NH
Salem, NH
Dover, NH
Merrimack, NH
Londonderry, NH
Portland, ME
Lewiston, ME
Bangor, ME
South Portland, ME
Auburn, ME
Biddeford, ME
Sanford, ME
Augusta, ME
Saco, ME
Burlington, VT
South Burlington, VT
Rutland, VT
Barre, VT
Montpelier, VT
Winooski, VT
St. Albans, VT
Newport, VT
Wilmington, DE
Dover, DE
Newark, DE
Middletown, DE
Smyrna, DE
Milford, DE
Seaford, DE
Georgetown, DE
Charleston, WV
Huntington, WV
Morgantown, WV
Parkersburg, WV
Wheeling, WV
Weirton, WV
Fairmont, WV
Martinsburg, WV
Beckley, WV
Fargo, ND
Bismarck, ND
Grand Forks, ND
Minot, ND
West Fargo, ND
Williston, ND
Dickinson, ND
Mandan, ND
Sioux Falls, SD
Rapid City, SD
Aberdeen, SD
Brookings, SD
Watertown, SD
Mitchell, SD
Yankton, SD
Pierre, SD
Washington, DC
